Project,Title,Priority,Labels,Estimate,Description,Acceptance Criteria,Docs
Tenant Portal and Maintenance,Implement maintenance request creation,Medium,"type:feature,area:maintenance,mvp",4,Tenant submits maintenance request.,Tenant can submit title/category/description/attachment for active tenancy.,docs/README.md
Tenant Portal and Maintenance,Build landlord maintenance queue,Medium,"type:feature,area:maintenance,area:ui,mvp",3,Landlord views and updates maintenance requests.,"Landlord can view, filter, update statuses.",docs/README.md
"Admin, Security, and Beta Hardening",Build admin dashboard shell,Medium,"type:feature,area:admin,mvp",3,Create admin dashboard.,"Admin can view accounts, users, payments, and webhook events.",docs/README.md
"Admin, Security, and Beta Hardening",Implement audit log viewer,Medium,"type:feature,area:admin,area:security,mvp",3,Admin can inspect audit logs.,Sensitive/financial actions are visible.,docs/README.md
"Admin, Security, and Beta Hardening",Add Sentry error monitoring,Medium,"type:chore,area:devops,area:security,mvp",2,Configure Sentry for web app.,Errors are reported in staging/production.,docs/README.md
"Admin, Security, and Beta Hardening",Add security review checklist,Medium,"type:chore,area:security,area:docs,mvp",1,Create security checklist.,"Checklist covers tenant isolation, payments, receipts, uploads, admin actions.",docs/README.md
"Admin, Security, and Beta Hardening",Create beta release checklist,Medium,"type:chore,area:docs,mvp",1,Create beta release checklist.,"Checklist covers env vars, migrations, smoke tests, backups, rollback.",docs/README.md
M-Pesa STK Push Scaffold,Create payment provider abstraction,Medium,"type:feature,area:payments,area:integrations,mvp",3,Define PaymentProvider interface and mock provider.,Interface and mock provider exist; domain does not directly depend on Daraja.,docs/README.md
M-Pesa STK Push Scaffold,Add PaymentTransaction model and service,Medium,"type:feature,area:payments,area:database,mvp",3,Track external payment attempts.,Payment attempts recorded; CheckoutRequestID uniqueness enforced.,docs/README.md
M-Pesa STK Push Scaffold,Build M-Pesa callback route handler,Medium,"type:feature,area:payments,area:integrations,mvp",4,Create route to store raw webhook and enqueue job.,Payload stored; job enqueued; no full business logic inline.,docs/README.md
M-Pesa STK Push Scaffold,Build M-Pesa callback processor job,Medium,"type:feature,area:payments,area:devops,mvp",5,Process callback idempotently.,Success creates/applies payment; failed/cancelled updates transaction status.,docs/README.md
